# MachineName: LAPTOP-FNQAV89R
# UserName   : Abdul Muneem
# Date       : 20210302T141759
# Shrink     : 1
1 -403.00000 351.00000 25.00000
1 -397.00000 358.00000 25.00000
1 -397.00000 358.00000 25.00000
1 -393.00000 369.00000 23.00000
1 -393.00000 369.00000 23.00000
1 -391.00000 373.00000 23.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -359.00000 407.00000 25.00000
1 -355.00000 403.00000 25.00000
1 -355.00000 403.00000 25.00000
1 -353.00000 400.00000 25.00000
1 -353.00000 400.00000 25.00000
1 -353.00000 397.00000 25.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -354.00000 364.00000 25.00000
1 -357.00000 355.00000 25.00000
1 -357.00000 355.00000 25.00000
1 -360.00000 351.00000 24.00000
1 -360.00000 351.00000 24.00000
1 -364.00000 344.00000 23.00000
1 -364.00000 344.00000 23.00000
1 -367.00000 341.00000 23.00000
1 -367.00000 341.00000 23.00000
1 -373.00000 335.00000 22.00000
1 -373.00000 335.00000 22.00000
1 -380.00000 328.00000 21.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -409.00000 437.00000 25.00000
1 -401.00000 439.00000 25.00000
1 -401.00000 439.00000 25.00000
1 -396.00000 443.00000 25.00000
1 -396.00000 443.00000 25.00000
1 -392.00000 446.00000 25.00000
1 -392.00000 446.00000 25.00000
1 -383.00000 454.00000 22.00000
1 0.00000 0.00000 0.00000
1 0.00000 0.00000 0.00000
1 -444.00000 445.00000 25.00000
1 -436.00000 446.00000 25.00000
1 -436.00000 446.00000 25.00000
1 -430.00000 446.00000 25.00000
1 -430.00000 446.00000 25.00000
1 -420.00000 452.00000 22.00000
1 -420.00000 452.00000 22.00000
1 -413.00000 455.00000 21.00000
